"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 15:48:36 GMT 2024","Fri Feb 23 15:48:36 GMT 2024","50","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidNameShouldNotBeAvailable","creatingBuildConfigurationWithInvalidNameShouldNotBeAvailable","Creating build configuration with invalid name should not be available"
"failed","Fri Feb 23 15:48:36 GMT 2024","Fri Feb 23 15:48:36 GMT 2024","60","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidNameShouldNotBeAvailable","creatingBuildConfigurationWithInvalidNameShouldNotBeAvailable","Creating build configuration with invalid name should not be available"
"failed","Fri Feb 23 15:48:44 GMT 2024","Fri Feb 23 15:48:44 GMT 2024","154","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","Project admin should not have rights to create build configuration not in his project"
"passed","Fri Feb 23 15:48:42 GMT 2024","Fri Feb 23 15:48:42 GMT 2024","85","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithValidNameAsLocatorShouldBeAvailable","creatingProjectWithValidNameAsLocatorShouldBeAvailable","Creating project with valid locator name should be available"
"failed","Fri Feb 23 15:48:41 GMT 2024","Fri Feb 23 15:48:41 GMT 2024","14","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidIdShouldNotBeAvailable","creatingProjectWithInvalidIdShouldNotBeAvailable","Creating project with invalid id should not be available"
"failed","Fri Feb 23 15:48:35 GMT 2024","Fri Feb 23 15:48:35 GMT 2024","102","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","Creating build configuration with invalid id should not be available"
"passed","Fri Feb 23 15:48:42 GMT 2024","Fri Feb 23 15:48:42 GMT 2024","66","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithValidNameAsLocatorShouldBeAvailable","creatingProjectWithValidNameAsLocatorShouldBeAvailable","Creating project with valid locator name should be available"
"passed","Fri Feb 23 15:48:38 GMT 2024","Fri Feb 23 15:48:39 GMT 2024","760","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithXmlContentTypeShouldBeAvailable","creatingBuildConfigurationWithXmlContentTypeShouldBeAvailable","Creating build configuration with xml content-type should be available"
"passed","Fri Feb 23 15:48:36 GMT 2024","Fri Feb 23 15:48:36 GMT 2024","16","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","Creating build configuration with invalid project id should not be available"
"passed","Fri Feb 23 15:48:41 GMT 2024","Fri Feb 23 15:48:41 GMT 2024","7","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithEmptyBodyShouldNotBeAvailable","creatingProjectWithEmptyBodyShouldNotBeAvailable","Creating project with empty body should not be available"
"failed","Fri Feb 23 15:48:35 GMT 2024","Fri Feb 23 15:48:35 GMT 2024","47","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","Creating build configuration with invalid id should not be available"
"passed","Fri Feb 23 15:48:43 GMT 2024","Fri Feb 23 15:48:43 GMT 2024","37","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithoutCopyAllAssociatedSettingsShouldBeAvailable","creatingProjectWithoutCopyAllAssociatedSettingsShouldBeAvailable","Creating project without copy all associated settings should be available"
"passed","Fri Feb 23 15:48:37 GMT 2024","Fri Feb 23 15:48:37 GMT 2024","150","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidNameShouldBeAvailable","creatingBuildConfigurationWithValidNameShouldBeAvailable","Creating build configuration with valid name should be available"
"passed","Fri Feb 23 15:48:37 GMT 2024","Fri Feb 23 15:48:37 GMT 2024","69","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidIdShouldBeAvailable","creatingBuildConfigurationWithValidIdShouldBeAvailable","Creating build configuration with valid id should be available"
"passed","Fri Feb 23 15:48:37 GMT 2024","Fri Feb 23 15:48:37 GMT 2024","110","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidIdShouldBeAvailable","creatingBuildConfigurationWithValidIdShouldBeAvailable","Creating build configuration with valid id should be available"
"passed","Fri Feb 23 15:48:37 GMT 2024","Fri Feb 23 15:48:37 GMT 2024","72","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidNameShouldBeAvailable","creatingBuildConfigurationWithValidNameShouldBeAvailable","Creating build configuration with valid name should be available"
"failed","Fri Feb 23 15:48:41 GMT 2024","Fri Feb 23 15:48:41 GMT 2024","21","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidIdShouldNotBeAvailable","creatingProjectWithInvalidIdShouldNotBeAvailable","Creating project with invalid id should not be available"
"failed","Fri Feb 23 15:48:41 GMT 2024","Fri Feb 23 15:48:41 GMT 2024","13","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidIdShouldNotBeAvailable","creatingProjectWithInvalidIdShouldNotBeAvailable","Creating project with invalid id should not be available"
"passed","Fri Feb 23 15:48:41 GMT 2024","Fri Feb 23 15:48:41 GMT 2024","9","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidAcceptHeaderShouldNotBeAvailable","creatingProjectWithInvalidAcceptHeaderShouldNotBeAvailable","Creating project with invalid Accept header should not be available"
"failed","Fri Feb 23 15:48:36 GMT 2024","Fri Feb 23 15:48:36 GMT 2024","53","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","Creating build configuration with invalid id should not be available"
"passed","Fri Feb 23 15:48:40 GMT 2024","Fri Feb 23 15:48:40 GMT 2024","119","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingTwoBuildConfigurationWithSameNameInDifferentProjectsShouldBeAvailable","creatingTwoBuildConfigurationWithSameNameInDifferentProjectsShouldBeAvailable","Creating two build configurations with same name not in the same project should be available"
"passed","Fri Feb 23 15:48:40 GMT 2024","Fri Feb 23 15:48:40 GMT 2024","101","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithoutStepsShouldBeAvailable","creatingBuildConfigurationWithoutStepsShouldBeAvailable","Creating build configuration without steps should be available"
"failed","Fri Feb 23 15:48:36 GMT 2024","Fri Feb 23 15:48:36 GMT 2024","22","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","Creating build configuration with invalid project id should not be available"
"passed","Fri Feb 23 15:48:34 GMT 2024","Fri Feb 23 15:48:35 GMT 2024","49","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithEmptyBodyShouldNotBeAvailable","creatingBuildConfigurationWithEmptyBodyShouldNotBeAvailable","Creating build configuration with empty body should not be available"
"passed","Fri Feb 23 15:44:35 GMT 2024","Fri Feb 23 15:45:34 GMT 2024","59281","Surefire suite","Surefire test","com.example.teamcity.setup.TeamcitySetupTest","com.example.teamcity.setup.TeamcitySetupTest","startUpTest","startUpTest","Startup TeamCity server and accept license"
"passed","Fri Feb 23 15:48:37 GMT 2024","Fri Feb 23 15:48:37 GMT 2024","94","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidIdShouldBeAvailable","creatingBuildConfigurationWithValidIdShouldBeAvailable","Creating build configuration with valid id should be available"
"passed","Fri Feb 23 15:48:44 GMT 2024","Fri Feb 23 15:48:44 GMT 2024","73","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","nonAdminShouldNotHaveRightsToCreateProject","nonAdminShouldNotHaveRightsToCreateProject","Non admin should not have rights to create project"
"passed","Fri Feb 23 15:48:37 GMT 2024","Fri Feb 23 15:48:38 GMT 2024","88","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidNameShouldBeAvailable","creatingBuildConfigurationWithValidNameShouldBeAvailable","Creating build configuration with valid name should be available"
"passed","Fri Feb 23 15:48:42 GMT 2024","Fri Feb 23 15:48:42 GMT 2024","72","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithValidNameAsLocatorShouldBeAvailable","creatingProjectWithValidNameAsLocatorShouldBeAvailable","Creating project with valid locator name should be available"
"passed","Fri Feb 23 15:46:42 GMT 2024","Fri Feb 23 15:46:55 GMT 2024","13442","Surefire suite","Surefire test","com.example.teamcity.setup.AgentSetupTest","com.example.teamcity.setup.AgentSetupTest","authorizeAgentTest","authorizeAgentTest","Authorization agent after setup infra"
"passed","Fri Feb 23 15:48:38 GMT 2024","Fri Feb 23 15:48:38 GMT 2024","74","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidProjectIdShouldBeAvailable","creatingBuildConfigurationWithValidProjectIdShouldBeAvailable","Creating build configuration with valid project id should be available"
"failed","Fri Feb 23 15:48:41 GMT 2024","Fri Feb 23 15:48:41 GMT 2024","16","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidIdShouldNotBeAvailable","creatingProjectWithInvalidIdShouldNotBeAvailable","Creating project with invalid id should not be available"
"failed","Fri Feb 23 15:48:41 GMT 2024","Fri Feb 23 15:48:41 GMT 2024","14","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidIdShouldNotBeAvailable","creatingProjectWithInvalidIdShouldNotBeAvailable","Creating project with invalid id should not be available"
"failed","Fri Feb 23 15:48:35 GMT 2024","Fri Feb 23 15:48:35 GMT 2024","78","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","Creating build configuration with invalid id should not be available"
"failed","Fri Feb 23 15:48:36 GMT 2024","Fri Feb 23 15:48:36 GMT 2024","19","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","Creating build configuration with invalid project id should not be available"
"passed","Fri Feb 23 15:48:41 GMT 2024","Fri Feb 23 15:48:41 GMT 2024","23","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithNonExistedLocatorShouldNotBeAvailable","creatingProjectWithNonExistedLocatorShouldNotBeAvailable","Creating project with non existed locator should not be available"
"failed","Fri Feb 23 15:48:41 GMT 2024","Fri Feb 23 15:48:41 GMT 2024","15","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidIdShouldNotBeAvailable","creatingProjectWithInvalidIdShouldNotBeAvailable","Creating project with invalid id should not be available"
"failed","Fri Feb 23 15:48:35 GMT 2024","Fri Feb 23 15:48:35 GMT 2024","55","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","Creating build configuration with invalid id should not be available"
"failed","Fri Feb 23 15:48:36 GMT 2024","Fri Feb 23 15:48:36 GMT 2024","18","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","Creating build configuration with invalid project id should not be available"
"passed","Fri Feb 23 15:48:41 GMT 2024","Fri Feb 23 15:48:41 GMT 2024","30","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidNameShouldNotBeAvailable","creatingProjectWithInvalidNameShouldNotBeAvailable","Creating project with invalid name should not be available"
"failed","Fri Feb 23 15:48:41 GMT 2024","Fri Feb 23 15:48:41 GMT 2024","23","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidIdShouldNotBeAvailable","creatingProjectWithInvalidIdShouldNotBeAvailable","Creating project with invalid id should not be available"
"passed","Fri Feb 23 15:48:35 GMT 2024","Fri Feb 23 15:48:35 GMT 2024","34","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidAcceptHeaderShouldNotBeAvailable","creatingBuildConfigurationWithInvalidAcceptHeaderShouldNotBeAvailable","Creating build configuration with invalid Accept header should not be available"
"failed","Fri Feb 23 15:48:36 GMT 2024","Fri Feb 23 15:48:36 GMT 2024","19","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","Creating build configuration with invalid project id should not be available"
"passed","Fri Feb 23 15:48:38 GMT 2024","Fri Feb 23 15:48:38 GMT 2024","97","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidNameShouldBeAvailable","creatingBuildConfigurationWithValidNameShouldBeAvailable","Creating build configuration with valid name should be available"
"passed","Fri Feb 23 15:48:38 GMT 2024","Fri Feb 23 15:48:38 GMT 2024","97","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidNameShouldBeAvailable","creatingBuildConfigurationWithValidNameShouldBeAvailable","Creating build configuration with valid name should be available"
"passed","Fri Feb 23 15:48:44 GMT 2024","Fri Feb 23 15:48:44 GMT 2024","125","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","Project admin should have rights to create build configuration"
"passed","Fri Feb 23 15:48:36 GMT 2024","Fri Feb 23 15:48:36 GMT 2024","292","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithStepsShouldBeAvailable","creatingBuildConfigurationWithStepsShouldBeAvailable","Creating build configuration with steps should be available"
"passed","Fri Feb 23 15:47:45 GMT 2024","Fri Feb 23 15:48:03 GMT 2024","18911","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","creatingBuildConfigurationWithStepsShouldBeAvailable","creatingBuildConfigurationWithStepsShouldBeAvailable","Creating build configuration with steps should be available"
"failed","Fri Feb 23 15:48:36 GMT 2024","Fri Feb 23 15:48:36 GMT 2024","22","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidProjectIdShouldNotBeAvailable","Creating build configuration with invalid project id should not be available"
"passed","Fri Feb 23 15:48:31 GMT 2024","Fri Feb 23 15:48:34 GMT 2024","3040","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationInArchivedProjectShouldBeAvailable","creatingBuildConfigurationInArchivedProjectShouldBeAvailable","Creating build configuration in archived project should be available"
"failed","Fri Feb 23 15:48:44 GMT 2024","Fri Feb 23 15:48:44 GMT 2024","42","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightsToCreateBuildConfig","unauthorizedUserShouldNotHaveRightsToCreateBuildConfig","Unauthorized user should not have rights to create build configuration"
