"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 31 08:54:37 GMT 2024","Sun Mar 31 08:54:44 GMT 2024","6831","UI Suite","UI Test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","creatingTwoProjectsWithSameNameShouldNotBeAvailable","creatingTwoProjectsWithSameNameShouldNotBeAvailable","Creating two projects with same name should not be available"
"failed","Sun Mar 31 08:55:05 GMT 2024","Sun Mar 31 08:55:05 GMT 2024","19","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidNameShouldNotBeAvailable","creatingProjectWithInvalidNameShouldNotBeAvailable","Creating project with invalid name should not be available"
"passed","Sun Mar 31 08:55:02 GMT 2024","Sun Mar 31 08:55:02 GMT 2024","68","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithValidProjectIdShouldBeAvailable","creatingBuildConfigurationWithValidProjectIdShouldBeAvailable","Creating build configuration with valid project id should be available"
"passed","Sun Mar 31 08:55:05 GMT 2024","Sun Mar 31 08:55:05 GMT 2024","18","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidLocatorShouldNotBeAvailable","creatingProjectWithInvalidLocatorShouldNotBeAvailable","Creating project with invalid locator should not be available"
"passed","Sun Mar 31 08:55:05 GMT 2024","Sun Mar 31 08:55:05 GMT 2024","16","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidNameShouldNotBeAvailable","creatingProjectWithInvalidNameShouldNotBeAvailable","Creating project with invalid name should not be available"
"passed","Sun Mar 31 08:55:04 GMT 2024","Sun Mar 31 08:55:04 GMT 2024","76","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectInRootShouldBeAvailable","creatingProjectInRootShouldBeAvailable","Creating project in Root project should be available"
"passed","Sun Mar 31 08:55:04 GMT 2024","Sun Mar 31 08:55:04 GMT 2024","74","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingTwoBuildConfigurationWithSameNameShouldNotBeAvailable","creatingTwoBuildConfigurationWithSameNameShouldNotBeAvailable","Creating two build configurations with same name should not be available"
"passed","Sun Mar 31 08:55:05 GMT 2024","Sun Mar 31 08:55:05 GMT 2024","33","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithValidIdShouldBeAvailable","creatingProjectWithValidIdShouldBeAvailable","Creating project with valid id should be available"
"passed","Sun Mar 31 08:54:58 GMT 2024","Sun Mar 31 08:54:58 GMT 2024","93","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationInNonExistedProjectShouldNotBeAvailable","creatingBuildConfigurationInNonExistedProjectShouldNotBeAvailable","Creating build configuration in non existed project should not be available"
"passed","Sun Mar 31 08:55:07 GMT 2024","Sun Mar 31 08:55:07 GMT 2024","30","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithoutCopyAllAssociatedSettingsShouldBeAvailable","creatingProjectWithoutCopyAllAssociatedSettingsShouldBeAvailable","Creating project without copy all associated settings should be available"
