"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 21 19:31:26 GMT 2024","Wed Feb 21 19:31:26 GMT 2024","68","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","Creating build configuration with invalid id should not be available"
"passed","Wed Feb 21 19:31:35 GMT 2024","Wed Feb 21 19:31:35 GMT 2024","40","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithoutCopyAllAssociatedSettingsShouldBeAvailable","creatingProjectWithoutCopyAllAssociatedSettingsShouldBeAvailable","Creating project without copy all associated settings should be available"
"passed","Wed Feb 21 19:31:24 GMT 2024","Wed Feb 21 19:31:24 GMT 2024","101","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationInNonExistedProjectShouldNotBeAvailable","creatingBuildConfigurationInNonExistedProjectShouldNotBeAvailable","Creating build configuration in non existed project should not be available"
"passed","Wed Feb 21 19:31:35 GMT 2024","Wed Feb 21 19:31:36 GMT 2024","40","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithoutParentWillBeCreatedInRoot","creatingProjectWithoutParentWillBeCreatedInRoot","Creating project without specifying parent will be create in Root"
"passed","Wed Feb 21 19:31:34 GMT 2024","Wed Feb 21 19:31:34 GMT 2024","72","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithValidNameAsLocatorShouldBeAvailable","creatingProjectWithValidNameAsLocatorShouldBeAvailable","Creating project with valid locator name should be available"
"passed","Wed Feb 21 19:31:34 GMT 2024","Wed Feb 21 19:31:34 GMT 2024","53","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithValidIdShouldBeAvailable","creatingProjectWithValidIdShouldBeAvailable","Creating project with valid id should be available"
"passed","Wed Feb 21 19:31:31 GMT 2024","Wed Feb 21 19:31:32 GMT 2024","84","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingTwoBuildConfigurationWithNonUniqueIdShouldNotBeAvailable","creatingTwoBuildConfigurationWithNonUniqueIdShouldNotBeAvailable","Creating two build configurations with non unique id should not be available"
"failed","Wed Feb 21 19:31:25 GMT 2024","Wed Feb 21 19:31:25 GMT 2024","84","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","creatingBuildConfigurationWithInvalidIdShouldNotBeAvailable","Creating build configuration with invalid id should not be available"
"passed","Wed Feb 21 19:31:26 GMT 2024","Wed Feb 21 19:31:27 GMT 2024","251","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithStepsShouldBeAvailable","creatingBuildConfigurationWithStepsShouldBeAvailable","Creating build configuration with steps should be available"
"passed","Wed Feb 21 19:31:33 GMT 2024","Wed Feb 21 19:31:33 GMT 2024","24","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithInvalidLocatorShouldNotBeAvailable","creatingProjectWithInvalidLocatorShouldNotBeAvailable","Creating project with invalid locator should not be available"
